im looking for a moderately priced restaurant that serves;inform 
bad;null 
im looking for italian food;inform 
what is its address phone number and area;request 
what area of town is it in;request 
south side;inform 
can i have the phone;request 
a cheap;inform 
a cheap restaurant;inform 
lebanese;inform 
uh yes can i find an expensive restaurant that serves italian food;affirm 
okay and can i get their address;request 
okay uh thank you and good bye;thankyou 
basque food in the east part of town;inform 
i would like to find a restaurant in the west part of town that serves;inform 
could i have the address and price range please;request 
im looking for a restaurant in the;inform 
swedish;inform 
uh huh;affirm 
okay can i have the phone number;request 
im looking for vegetarian food;inform 
on north;inform 
im looking for irish food in any price range;inform 
irish food;inform 
no thai food;negate 
the address and phone number;request 
im looking for an expensive restaurant serving english food;inform 
yes im looking for english food;affirm 
okay what about turkish foo;reqalts 
no im looking for turkish;negate 
cheap restaurant on the east part of town;inform 
im looking for a moderately priced restaurant and it should serve british;inform 
new;null 
i want a german restaurant in the west part of town;inform 
how about itailian;reqalts 
i want an italian restaurant;inform 
what is its phone number;request 
yes id like an expensive restaurant in the east part of town;affirm 
uh dont care;inform 
um anything else;inform 
telephone;request 
change that to any price range;inform 
uh any;inform 
it does not matter;inform 
i want a restaurant in the center of town;inform 
im looking for a restaurant in any area that serves malaysian food;inform 
im looking for a restaurant in any area that serves north american type;inform 
hi i need a restaurant in any area;hello 
im looking for corsica food noise;inform 
gastropub type food noise;inform 
gastropub type food;inform 
gastropub type foo;inform 
whats the address noise;request 
whats the post code noise;request 
moderately priced spanish restaurant;inform 
what area of town are they located;request 
im looking for a restaurant in the center of town serving jamaican food;inform 
what about a modern europene type of food;reqalts 
i am looking for modern european food;inform 
i need a moderately priced restaurant in the west part of town;inform 
expensive restaurant in the east part of town;inform 
what is you gardens phone number;request 
what kind of food does you garden serve;request 
swedish food;inform 
incorrect;null 
im searching for mediterranean food;inform 
what is its post code;request 
an expensive restaurant serving cantonese food;inform 
creative;inform 
im looking for a moderately priced restaurant in the south part of;inform 
what else;reqalts 
i want to find a restaurant in the east part of town that serves canapes foo;inform 
no canapes;negate 
yes a restaurant in the east of town unintelligible serving canap;affirm 
does it serve canapes food;confirm 
okay what is the addre;request 
can i have a moderately priced restaurant in the west part of town;inform 
could i have their phone number and address please;request 
a restaurant in the center that serves leban;inform 
i would like to find a moderately priced restaurant and it should be in the east;inform 
im looking for a moderately priced restaurant in the east part of town;inform 
could i have the address;request 
im looking for an expensive restaurant serving portuguese foo;inform 
french restaurant;inform 
ah a phone number;request 
could i find an expensive restaurant that serves european food please;inform 
could i have the address phone number and area;request 
uh id like a moderately priced restaurant in the north part;inform 
just give me one more;reqalts 
um do you have anything else;reqalts 
uh can i have the phone number;request 
im looking for a restaurant in any area that servess;inform 
what about british;reqalts 
any price range is fine;inform 
can i can i have the address the phone number;request 
of the restaurant please;inform 
and can i have the address and phone number please;request 
moderately priced restaurant serving international food;inform 
what is the address phone number and post code;request 
i am looking for a moderately priced restaurant in the south part of town;inform 
can i get the address phone number and post code;request 
im looking for a restaurant that serves thai food and i dont care about the price;inform 
and what is the area;request 
moderate price restaurant;inform 
the food;inform 
im looking for african food;inform 
im looking for a cheap restaurant serving belgain food;inform 
how about italian type of food;reqalts 
no that is not unintelligible italian type of food;negate 
can i have the address and phone number of the venue;request 
i need lebanese food in the east;inform 
how about lebanese food;reqalts 
vegetarian food please;inform 
how about an expensive restaurant;reqalts 
im looking for an expensive restaurant in a;inform 
the south part of town please;inform 
restaurant serving spanish food;inform 
japanese food;inform 
the east part of town;inform 
i dont care about the price range i need bask food;inform 
yes barbecue food;affirm 
how about international;reqalts 
how about international food;reqalts 
oh anything;inform 
im looking for an expensive restaurant in the south;inform 
im looking for a restaurant that serves expensive food or expensive;inform 
portugese;inform 
change that to mediterranean food;inform 
im looking for a restaurant in the east part of town that serves c;inform 
uh are there any restaurants serving chinese;reqalts 
okay can i have the address phone number and the post code of the restaurant;request 
im looking for a cheap jamaican restaurant;inform 
cheap restaurant serving mediterranean food;inform 
im looking for a restaurant moderately pri;inform 
in the north part o;inform 
is there another one;reqalts 
do you have the phone number and post code;request 
i want a moderately priced restaurant in the east;inform 
i want to find an expensive restaurant in the east part of town;inform 
restaurant in the center serving turkish food;inform 
the center;inform 
where is the address;request 
barbecue food;inform 
how about north american;reqalts 
whats the address phone number;request 
address noise;request 
cheap restaurant serving malaysian food;inform 
a moderately priced restaurant in the west part of town;inform 
may i have the phone number and post code please;request 
yea im looking for an expensive;inform 
first one;null 
uh any part of town;inform 
whats the name;request 
restaurant in the center;inform 
yes spanish food;affirm 
address phone number postcode;request 
im looking to find a moderately priced restaurant;inform 
expensive restaurant serving caribbean food;inform 
cheap in the east part of town;inform 
im looking for a moderately priced restaurant that serves polish food;inform 
im looking for a moderately priced;inform 
polish food;inform 
moderately priced restaurant turkish food;inform 
cheap restaurant in the east part of town;inform 
malaysian food;inform 
oh is there anything else;reqalts 
thank you so much good bye;bye 
dont know;inform 
i want an expensive restaurant;inform 
african;inform 
does it serve african food;confirm 
no african;negate 
does it serve african;confirm 
does it serve;request 
i want african food;inform 
im looking for a restaurant that serves welsh food;inform 
moderately priced restaurant south part of town;inform 
give me address and phone number;request 
im looking for a moderately priced restaurant that serves japanese;inform 
could i have a moderately priced restaurant in the east part of town;inform 
could i have the address phone number and postcode;request 
and the postcode;request 
cheap restaurant welsh food;inform 
expensive russian food;inform 
how about russian food;reqalts 
how about expensive british;reqalts 
australian food center part of town;inform 
austral asian;inform 
any price;request 
japanese;inform 
i want a cheap restaurant that serves italian food;inform 
and their phone number;request 
i want a cheap restaurant in the south part of town;inform 
that serves spanish food;inform 
hi im looking for a restaurant that serves spanish food;hello 
any thing;inform 
do you have any other restaurants;reqalts 
okay can i have the phone number and address;request 
hey im looking for a restaurant in the west part of town;inform 
what about italian food;reqalts 
looking for a restaurant;inform 
in the west part of town in the cheap price range;inform 
catalan food north part of town;inform 
no catalan food;negate 
wrong;deny 
im looking for a moderately priced restaurant in the east part;inform 
looking for a restaurant in the east part of town thats moderately priced;inform 
yes can i have a moderate priced restaurant;affirm 
venesian;inform 
location;request 
im looking for a moderately price restaurant that serves halo food;inform 
im looking for a restaurant in the east part of town that serves international;inform 
find me a moderately priced restaurant in;inform 
give me the address;request 
give me the phone number;request 
no catalan;negate 
breath expensive;inform 
i want a restaurant that is cheap and;inform 
i want it in the north part of town;inform 
in the east;inform 
yes im looking for a restaurant in the north part of town;affirm 
serving in;null 
im looking for a restaurant in the south part;inform 
a cheap restaurant in the west part of town;inform 
can you give me a restaurant in east part of town and;reqalts 
no im looking for a cheap price range in the east part of town;negate 
italian food instead;inform 
serves lebanese;inform 
i want lebanese food;inform 
i want something that serves lebanese food;inform 
dont care east part of town;inform 
im looking for an ex;inform 
im looking for fusion food;inform 
does it serve fusion food;confirm 
im looking for an expensive restaurant and it should serve fus;inform 
im looking for a restaurant in the north part of town thats;inform 
restaurant and it should be;inform 
for a cheap restaurant in the east part of town;inform 
thank you and good bye;thankyou 
im looking for a moderately priced restaurant serving cuban food;inform 
serving cuban food;inform 
how about international type of food;reqalts 
international type of food;inform 
can i have the address and the post code;request 
could i have a restaurant in the center;inform 
brazillian;inform 
what about asian oriental food;reqalts 
uh turkish;inform 
in the center part of town french food;inform 
looking for a restaurant in the north part of town serving bra;inform 
okay ah wha whats the address;request 
uh cheap restaurant malaysian food;inform 
uh italian food;inform 
cheap restaurant uh italian food;inform 
im looking for a restaurant that serves unintelligible food;inform 
unintelligible food;inform 
im looking for a restaurant serving unintelligible;inform 
im looking for a restaurant that serves unintelligible;inform 
no im looking for a unintelligible swiss food;negate 
whats the unintelligible;null 
cheap restaurant east part of town;inform 
address and post code;request 
im looking for an expensive restaurant that serves swiss food;inform 
im looking for a moderately priced restaurant that serves christmas food;inform 
um chinese food;inform 
russian food;inform 
im looking for a russian food;inform 
um any type of food;inform 
unintelligible east;inform 
an an expensive restaurant;inform 
and type of food;request 
im looking for a moderately priced in the south;inform 
im looking for a cheap restaurant and it should serve polish food;inform 
what about kosher food;inform 
portuguese food instead;inform 
serving mediterranean food;inform 
hi im looking for a restaurant that serves irish food;hello 
what about a restaurant serving thai food;inform 
in any area;inform 
expensive restaurant expensive restaurant east;inform 
uh address and price range;request 
uh yes international food please;affirm 
okay and um;null 
okay and can i get the address;request 
and can i get their address;request 
i would like;null 
what about gastropub;reqalts 
serves turkish food;inform 
any anything else;inform 
i am looking for a moderately priced restaurant that;inform 
i want gastropub;inform 
im looking for a restaurant in the moderate price range;inform 
type of food do they serve;request 
i want gastropub food;inform 
ah thank you phone number;request 
their price range;request 
and what type of food do they serve;request 
i need a phone number;request 
moderate restaurant north part of town;inform 
im looking for an expensive restaurant in the south part of tow;inform 
could you give me the phone number and post code;request 
could you give me another venue;reqalts 
i want a restaurant in the east part of town;inform 
in the east part;inform 
i need an expensive restaurant;inform 
im looking for a expensive restaurant;inform 
no air tran food;negate 
no air tran good;negate 
how about chinese restaurants;reqalts 
i would like to find a restaurant in the east part of town that serves italian;inform 
can i have the address and phone;request 
i am looking for a moderately priced restaurant in the west part of town;inform 
im looking for a restaurant in the south part of town with creative food;inform 
can i have the address and price range;request 
noise i am looking for a moderately priced restaurant unintelligible;inform 
what about a moderately priced re;inform 
how about europea;reqalts 
how about a moderately priced restauran;reqalts 
in the south part;inform 
what is available in the ar;null 
is it in the south part of town;confirm 
suggestions;null 
good;ack 
for a moderately priced restaurant;inform 
and it should be in the north part of town;inform 
what is the address and type of food;request 
im looking for moderately priced restaurant;inform 
im looking for one east part of town;inform 
can i have his phone number;request 
id like an expensive restaurant in the south part of town;inform 
no moderately priced restaurant;negate 
scottish food;inform 
with scottish food;inform 
im looking for a restaurant in the west part of town with;inform 
with scottish;inform 
is there one serving;null 
is there a restaurant serving indian food;reqalts 
is there a restaurant serving indian type of food;inform 
is it in the west part of town;confirm 
can i find an indian;inform 
i need moderately priced restaurant that serves spanish;inform 
vegetarian food in the east part of town;inform 
yes indian food;affirm 
im looking for a restaurant serving polish food;inform 
if there is no such venue how about thai type of food;inform 
im looking for a restaurant serving thai type of food;inform 
how about south part of town;reqalts 
im looking for korean food;inform 
whats its post code;request 
alright thank you very much food bye;thankyou 
moderately priced serving european food;inform 
im looking for a cheap restaurant in the north;inform 
i need a moderately priced restaurant in the north part;inform 
uh im not interested in the type;inform 
uh another choice;reqalts 
welsh food in the north part of town;inform 
yes part of town;affirm 
im looking for a moderately prices restaurant;inform 
how about a castro pub;reqalts 
how about a castro pub type of food;reqalts 
what is the area of this venue;request 
malaysian food malaysian;inform 
id like to find a restaurant that serves portuguese food;inform 
yes i dont care about the price range;inform 
id like the address and area;request 
im looking for a restaurant in the east part of town that serves;inform 
thank thank;thankyou 
uh yes im looking for a restaurant in any area that serves thai food;affirm 
um im looking for a restaurant serving thai food;inform 
uh any area;inform 
uh moderate;inform 
okay expensive;inform 
okay can i get their phone number;request 
and uh their post code;request 
im looking for restaurant in the south part of town that serves english food;inform 
is there a restaurant in the south part of town that serves italian food;reqalts 
a restaurant in the south part of town that serves italian food;inform 
and their post code;request 
im looking for a expensive restaurant that serves indonesian food;inform 
is there an expensive restaurant serving thai food;inform 
an expensive restaurant serving thai food;inform 
and their address and phone number;request 
something catalan food;inform 
uh anywhere;inform 
looking for a moderately priced creative food;inform 
im looking for a restaurant in any area that serves kor;inform 
what asian oriental food;inform 
are there any serves asian oriental;inform 
pan asian food;inform 
im looking for a cheap restaurant that serves turkish;inform 
can i have mediterranean food;inform 
i am looking for a cheap restaurant that serves germ;inform 
german;inform 
next;reqalts 
um anything else please;inform 
uh anything else;reqalts 
i need an expensive restaurant in the south part of town;inform 
find me a restaurant in the north part of town;inform 
i am looking for a restaurant in the west part of town;inform 
and address;request 
right east part of town;affirm 
im looking for food in the south part of town;inform 
how about singaporean food;reqalts 
id like the phone number of the restaurant you just told me;request 
id like an expensive italian restaurant;inform 
i would like to find a cheap restaurant and it should be in the south;inform 
in the south part of town;inform 
id like a european food;inform 
any area expensive price range;inform 
hi id like a moderately priced restaurant in the north;inform 
what is the golden woks address;request 
what is the golden woks phone number;request 
thats everything thank you;thankyou 
doesnt matter i dont care;inform 
what is one of them;null 
whats their post code;request 
moderately priced danish food;inform 
alright gastropub food;inform 
what area is it located;request 
lebanese food in the center of town;inform 
looking for a restaurant in the south part of town;inform 
that serves jamaican food;inform 
im looking for a restaurant in the south part of town that serves jamaican food;inform 
wait no i wanted portuguese food;negate 
and can you tell me the phone number;request 
uh yes im looking for a restaurant that serves chinese food;affirm 
uh how about moderately priced;reqalts 
uh west;inform 
uh center;inform 
and their phone number please;request 
okay that will be all thank you and good bye;thankyou 
im looking for seafood;inform 
no steak house;negate 
the west part of town;inform 
restaurant in the south part of town caribbean food;inform 
no caribbean food;negate 
uh no im looking for italian food;negate 
i want scottish food;inform 
i want;null 
okay may i have the address;request 
can i have a cheap restaurant;inform 
the east part;inform 
what type of food does the missing sock serve;request 
what is the address of the missing sock;request 
what type of food does the missing sock ser;request 
vegetarian food;inform 
uh expensive european food;inform 
central;inform 
middle;inform 
east of town;inform 
expensive european food;inform 
south of south of town;inform 
im looking for a moderately priced restaurant that serves european food;inform 
im looking for a restaurant in the north part town and it should serve australian food;inform 
what about australian asian food;reqalts 
noise i am looking for a restaurant;inform 
in the;null 
no french food;negate 
oh thank you goodbye;thankyou 
swiss;inform 
im looking for a restaurant it should serve vietnamese food;inform 
im looking for something moderately priced;inform 
can i find something in the west part of town;inform 
may i have the address of it;request 
whats its phone number;request 
im looking for a christmas food in the south part of town;inform 
yes id like a moderately priced restaurant;affirm 
moderately price;inform 
moderately priced any foo;inform 
moderately priced any food;inform 
no noise;negate 
i want a restaurant serving persian food;inform 
breath european;inform 
what is the address noise;request 
looking for a restaurant in the center that serves;inform 
im looking for a restaurant serving european food;inform 
restaurant in the west part of town that serves ca;inform 
west killeen;inform 
no im looking for austria asian food;negate 
i want a cheap restaurant in the south;inform 
breath a cheap restaurant in the north part of town;inform 
im looking for a restaurant in the south part of town that serves indian;inform 
a restaurant in the center of town;inform 
kish;null 
turkish restaurant;inform 
turkish restaurant in the center of town;inform 
range;null 
im looking for a expensive restaurant serving irish food;inform 
pub or british type of food;inform 
can i have the phone number of the venue;request 
is their anything else;reqalts 
okay bye;bye 
signature dish;request 
what about your signa;request 
popular dish;request 
missing sock;inform 
popular;null 
croatia;null 
town;null 
not sure;null 
do you have a phone number;request 
i need a restaurant that serves african food;inform 
i need the address phone number and post code;request 
cross over;inform 
can i have the address phone number and;request 
thank you good b;thankyou 
can i get address phone number;request 
welsh;inform 
moderate restaurant south part of town;inform 
im looking for a cheap restaurant that serves irish food;inform 
what about vietnamese type of food;reqalts 
are there any that serve vietnamese food;inform 
cheap australian;inform 
im looking for a moderately priced restaurant in the east part of;inform 
can i have the address and the phone number of the venue;request 
im looking for an expensive restaurant serving asian oriental;inform 
i want a restaurant in any area that serves;inform 
alright i want a restaurant in any;inform 
i want a restaurant in any area that serves vietnamese food;inform 
i want a restaurant in the center of town that serves vinesha;inform 
i want thai food;inform 
it should serve fusion food;inform 
im looking for a cheap hungarian restaurant;inform 
uh is there a modern european food restaurant;confirm 
can you find a modern european restaurant;inform 
iam looking;inform 
iam looking for a restaurant that serves bistro food;inform 
could i have the phone number and address please;request 
and what is the post code again;request 
is there not a mexican restaurant near by;inform 
say thank you good bye;thankyou 
moderate restaurant east part of town;inform 
could i have a restaurant in the south part of town that serves unusual;inform 
is there a indian restaurant in the south part of town;confirm 
a indian restaurant;inform 
can i have their phone number please;request 
looking for an expensive restaurant that;inform 
address and area;request 
of the venue;null 
area of the food of the venue;request 
what about the east part of town;reqalts 
austro food;inform 
restaurant in the center serving persian food;inform 
um im looking for a restaurant in north part of town;inform 
um is there one selling indian;inform 
is the one that serves indian food;inform 
any is okay;inform 
can i have the address the phone number;request 
the price range;request 
okay can i have the address and the phone number;request 
i want to know the phone number;request 
whats phone number;request 
no lebanese how do you say it;negate 
the type of food is lebanese;inform 
no lebanese food;negate 
lebanese damn it just listen to me;inform 
im looking for a moderate priced restaurant in the east part of town;inform 
iam looking for a restaurant in any area that serves swiss food;inform 
is there a restaurant serving vietnamese food;reqalts 
im looking for a restaurant that serves vietnamese food;inform 
i need a restaurant that serves halal food;inform 
uh okay how about indian food in the east part of town;reqalts 
how about indian food in the east part of town;reqalts 
tell me the phone number;request 
good bye thank you;thankyou 
looking for corsica food in an expensive restaurant;inform 
how about thai food thats expensive;reqalts 
looking for thai food;inform 
okay whats the address;request 
uh restaurant in the west part of town with scottish food;inform 
moderate range;inform 
i want to find a restaurant in the south part of town that serves in;inform 
may i have the address and price range;request 
hello im looking for a moderately priced restaurant in thr;hello 
unintelligible i dont care;inform 
is it moderately;confirm 
offer you the phone number and address;request 
im looking for french food;inform 
i want a moderately priced restaurant;inform 
it should serve caribbean food;inform 
if there is no such venue how about spanish type of food;inform 
yes moderately priced;affirm 
cheap italian;inform 
i am looking for belgium food;inform 
in an expensive restaurant;inform 
how about korean;reqalts 
is there any restaurant;reqalts 
i am looking for an expensive restaurant;inform 
may i have the address and area;request 
what about the area;request 
of this restaurant;inform 
uh yes i am looking for an expensive restaurant in the south part of;affirm 
okay im looking for an expensive restaurant;inform 
okay can i get the address;request 
i dont care thank you good bye;inform 
yes im looking for a;affirm 
hungarian food in the west part of town;inform 
that serves;null 
i would like moroccan food;inform 
i need a restaurant in the east part of town that serves world food;inform 
i need a restaurant in the east part of town serving indian food;inform 
im looking for an indian restaurant in the east of town;inform 
i need a cheap restaurant in the east part of town;inform 
can i get a restaurant in the west part of town;inform 
doesnt matter but it should be moderately priced;inform 
and can you tell me the post code;request 
a cheap restaurant east part of town;inform 
what do you recommend;null 
whats the address phone number and post code;request 
um indian food in the north part;inform 
im looking for a restaurant in the north part of town that serves christmas food;inform 
hi im looking for a restaurant that serves;hello 
okay do you have any restaurant that serves italian food;reqalts 
no im looking for a restaurant in the south part of town that serves;negate 
can i have the post code please;request 
i want an expensive steak house;inform 
how about british type food;reqalts 
looking for expensive tuscan food;inform 
uh do you have any korean food;inform 
what area is that in;request 
restaurant south part of town christmas food;inform 
find me an expensive restaurant in the south part of town;inform 
um i want to find a restaurant that serves fusion food;inform 
is there a restaurant that serves vietnamese food;reqalts 
is there a venue that serve vietnamese food;confirm 
i want to find a restaurant that serves vietnamese;inform 
id like to find a spanish restaurant in the center;inform 
how about cheap price range;reqalts 
yes in the west part of town;affirm 
ah whats the phone number;request 
yes cheap restaurant;affirm 
um give me the addresses;request 
address please;request 
is there a restaurant in the center of town serving;inform 
cantonese food north;inform 
um hi i want to find a restaurant in the town center that serves;hello 
i dont want turkish;deny 
oh i dont care;inform 
okay whats the post code;request 
okay thats all;bye 
um thank you good bye;thankyou 
and whats the other one;null 
another one;reqalts 
whats the address of royal spice;request 
yea im looking for a moderately priced restaurant;inform 
i dont care but it needs to be in the west part of town;inform 
id like to find a moderately priced restaurant;inform 
uh i want to know the address and phone number;request 
italian food please;inform 
that serves japanese food;inform 
what is the address phone number and price range;request 
im looking for a restaurant in the east part of town that serves hungarian food;inform 
can i get the address and phone number and post code;request 
looking for a restaurant in any area that serves mediterranean;inform 
im looking for an expensive restaurant that serves korean;inform 
im looking for an expensive restauran;inform 
east part ot tow;inform 
whats the address and post code;request 
um thank you goodbye;thankyou 
unusal;inform 
hungarian food in the center of town;inform 
what is the address and price range;request 
chinese food in the north part of town;inform 
inexpensive;inform 
west area;inform 
cheap portuguese food;inform 
yawning thank you and good bye;bye 
im looking for a restaurant in the south part of town serving portuguese;inform 
can i have the phone number and address of the venue;request 
im looking for a restaurant in the center part of town;inform 
restaurant in the east side of town;inform 
south side of town;inform 
find a restaurant in the south part of town;inform 
im looking for a moderately priced restaurant and it should serve;inform 
brazilian food;inform 
no indian;negate 
find cheap restaurant in south part of town;inform 
expensive thai food;inform 
may i have the post code;request 
im looking for a;inform 
moderate restaurant;inform 
moderate price north part of town;inform 
looking for a cheap restaurant in the east part of town;inform 
what is there address;request 
what is there phone number;request 
i want a moderate priced restaurant in the north part of town;inform 
im looking for a restaurant serving chinese food;inform 
id like to find;null 
id like to find a cheap restaurant serving mexican;inform 
what is the food type;request 
im looking for a cheap restaurant in the north part;inform 
im looking for a moderately priced restaurant serving basque food;inform 
sigh;null 
no thats post code;request 
id like a moderately priced restaurant in west of;inform 
expensive restaurant in the east;inform 
moderately priced afghan;inform 
another;reqalts 
dont care want afghan food afghan food afghan;inform 
find me a restaurant serving italian food;inform 
any of those things;inform 
im looking for italian food though;inform 
and the post code please;request 
i want to find a restaurant in the we;inform 
with malaysian food;inform 
how about tha;null 
whats the ph;null 
i am looking for a moderate priced restaurant in the west of town;inform 
im looking for an expensive restaurant serving international food;inform 
how about british type of food;reqalts 
im looking for an expensive restaurant serving british food;inform 
great whats the phone number;request 
and whats their post code;request 
and whats their price range;request 
what about expensive food;inform 
im looking for a restaurant that serves vegetarian food;inform 
i would like an expensive restaurant;inform 
id like a cheap restaurant in the west part of town;inform 
could i have the address and phone number please;request 
cheap restaurant in the south part of town;inform 
fast food;inform 
i am searching for a restaurant in the center that serves;inform 
is there a restaurant that serves modern european;reqalts 
is there a modern european;confirm 
is there a restaurant serving modern european food;reqalts 
what is its address;request 
i need a cheap restaurant that serves christmas food;inform 
im looking for indian;inform 
im looking a cheap restaurant in the south part of town;inform 
any kind any thing;inform 
could you give me a address;request 
uh no i need the phone number;request 
and okay and vietnamese food thank you;inform 
steak house food;inform 
steak house;inform 
im looking for moderately priced restaurant that serves;inform 
im looking for a restaurant in the north part of town and it should serve indo;inform 
im looking for a restaurant in the north part of town serving italian food;inform 
id like a restaurant in the center with russian food;inform 
french noise;inform 
nt care;null 
im searching for a restaurant in the south part of town that serves;inform 
is there a chinese;confirm 
is there one in the cheap price range;inform 
is there a chinese restaurant in the cheap price range;inform 
looking for a restaurant in any area;inform 
serving lebanese food;inform 
i want to find a cheap restaurant and it should be in the north part of;inform 
uh i want to find;null 
may i have the address phone;request 
looking for cheap eritrean food;inform 
expensive romanian food;inform 
expensive romanian;inform 
expensive korean food;inform 
looking for a restaurant in the north part of town that serves swedish food;inform 
whats the address phone number and price range;request 
spanish spanish food spanish;inform 
cheap restaurant spani;inform 
thank you thank you;thankyou 
im looking for an expensive restaurant that serves australian food;inform 
austria asian restaurant in the center of town;inform 
australasian food;inform 
may i have the address and postcode;request 
can i get their phone number;request 
and what is their post code;request 
id like a restaurant in any area that serves;inform 
i want a moderately priced cantonese restaurant;inform 
portuguese food in the south;inform 
im looking for kosher food in the west side;inform 
um how about;null 
um west side;inform 
expensive restaurant romanian food;inform 
looking for a moderately priced restaurant in the east;inform 
nothing;null 
uh yes i would like a restaurant in the center and it should serve jamaica;affirm 
okay how about modern european food;reqalts 
um modern european food;inform 
uh the center;inform 
any range;inform 
im looking for an expensive restaurant and it should serve vietnamese food;inform 
uh cheap restaurant;inform 
south of the town;inform 
im looking in the south of the town;inform 
im looking for expensive welsh food;inform 
im looking for an expensive restaurant that serves mediterranean food;inform 
im looking for a restaurant that serves tuscan food;inform 
what about korean;reqalts 
what about korean food;reqalts 
uh yes can i get a moderate moderately priced restaurant in the west part of town;affirm 
and is this a moderately priced restaurant;confirm 
okay what were the prices for the other restaurant;request 
and the one before;null 
okay is it in the west part of town;confirm 
and what kind of food does it serve;request 
im looking for a moderate priced restaurant that serves kosher food;inform 
im looking for a moderately priced restaurant that serves asian;inform 
no im looking for asian oriental;negate 
danish food in the center of town;inform 
a restaurant serving thai food;inform 
i need thai food;inform 
looking for something moderately priced in the north side of town;inform 
international food in the west part of;inform 
swedish food expensive;inform 
yes could i have;affirm 
im looking for a moderately priced restaurant serving fusion food;inform 
if there is no such venue how about european type of food;inform 
if there is no such venue how about european type of;inform 
how about european type of food;reqalts 
any type of area;inform 
center part of town;inform 
can i have the address and the postcode;request 
uh east;inform 
yea in the east part of town;affirm 
do you have the post code;request 
i want a restaurant in the west part of town that serves venetian food;inform 
in the west part;inform 
looking for austrian food in the center of town;inform 
looking for something moderately priced on the east side of town;inform 
are they the east side of town;inform 
oh good whats the address;request 
yea id like a moderately priced restaurant in the west;inform 
could i have the uh address and post code please;request 
caribbean;inform 
caribbean foo;inform 
no caribbean;negate 
how bout italian foo;inform 
how bout che italian food;inform 
how bout i italian food;inform 
can i have the noise;null 
can i have the phone nu;request 
i want to find an expensive restaurant in the south part of town;inform 
and what is the phone number;request 
both;null 
i would like an expensive restaurant that serves;inform 
is their korean food;inform 
i would like a restaurant that serves gastropub food;inform 
i would like gastropub;inform 
yea id like a cheap restaurant in the north part of town;inform 
noise malaysian noise;inform 
what about french;reqalts 
what about french food;reqalts 
okay im looking for a restaurant serving fre;inform 
noise north part of town;inform 
no okay thats fine what about french food;negate 
noise french food;inform 
noise no im looking for a french restaurant;negate 
hi i am looking for a moderately priced restaurant in the west;hello 
im looking for a restaurant that serves italian;inform 
uh yes can i have expensive restaurant that serves thai food;affirm 
uh can i get the address;request 
i need a mexican restaurant;inform 
thats fine whats the address;request 
unintelligible part of town cheap restaurant;inform 
expensive restaurant that serves lebanese food;inform 
address phone number and area;request 
area of the venue;request 
i am looking for a moderately priced restaurant in the west part o;inform 
im looking for a cheap restaurant serving pan as;inform 
no pan asian food;negate 
im l;null 
im looking for a restaurant serving pan asian foo;inform 
im looking for a restaurant serving asian oriental food;inform 
what is the phone number and addre;request 
uh south part of town;inform 
its in the south;inform 
oh where is it;request 
uh yes im looking for a restaurant that serves afghan food;affirm 
uh no oh;negate 
centre;inform 
uh the centre;inform 
uh afghan food;inform 
okay uh how bout turkish;inform 
breath okay uh thats great how bout the address;request 
uh yes can i get the address;affirm 
okay um thatll do it thank you and goodbye;thankyou 
id like a portuguese restaurant;inform 
and what is the other restaurant;reqalts 
what is the other portuguese restaurant;reqalts 
is there another restaurant that serves portuguese food;reqalts 
can i have a different restaurant that serves portuguese food;inform 
um east part of town;inform 
im looking for a restaurant in the east part of town that serves world food;inform 
im looking for a restaurant in the east part of town that serves chinese food;inform 
im looking for a restaurant in the east part of town that serves chinese;inform 
isian food;inform 
uh address;request 
id like a moderately priced restaurant in the south part of town;inform 
what about the other moderately priced restaurant in the south part;inform 
could i get their phone number please;request 
im looking for an expensive restaurant that serves thai food;inform 
no thank you good bye;negate 
im looking for a restaurant in the west part of town that serves corsica food;inform 
moderately priced restaurant in east part;inform 
a moderately priced fusion food;inform 
id like to know the phone number;request 
yeah im in the west part of town and im looking for some vietnamese;affirm 
moderately priced north part of;inform 
im trying to find a moderately priced restaurant that serves swedish food;inform 
im looking for a restaurant in the east part of town and it should serve;inform 
laughing;null 
whats the other one;null 
um whats the phone number;request 
moderately priced in east part of town;inform 
hi im looking for a moderately priced restaurant;hello 
what is the address of that venue;request 
restaurant in the north part of;inform 
canopus;inform 
a chinese restaurant that serves moderately priced food;inform 
um i dont care;inform 
looking for persian food;inform 
im looking for a restaurant in the center of town;inform 
looking for expensive kosher food;inform 
how about korean now;reqalts 
is it what what price range;request 
uh yes can i find a cheap restaurant in the north part of town;affirm 
uh italian;inform 
okay um can i have the other;null 
okay uh what about the other;null 
okay let me have that address;request 
okay can i have the rest of the address for da vinci;request 
and the phone number okay;request 
i want to find international food;inform 
no international;negate 
im looking for international;inform 
i would like portuguese food;inform 
uh looking for a restaurant in the west part of town that serves canapes food;inform 
okay is there a restaurant that serves thai food;reqalts 
and can i have the address phone number and price range of the restaurant please;request 
okay whats the price range;request 
uh north;inform 
address post code;request 
i would like to find a restaurant that serves halal food;inform 
is there a portugeuse food;confirm 
how about portugeuse food;reqalts 
cheap restaurant south part of town;inform 
what about swedish;reqalts 
what about thai;reqalts 
im looking for a cheap restaurant that serves brazilian;inform 
a cheap restaurant that serves basque food;inform 
what about mediterranean;reqalts 
cheap cheap restaurant;inform 
